# Category classification table for Municipality raster.
# - the value corresponds to raster data value
# - set colors so that adjacent municipalities have different colors
#value,cityname,color,opacity,fillColor,fillOpacity,weight,label
value,label,color,opacity,fillColor,fillOpacity,weight,label
155,Raymer,#6a00b3,1.0,#6a00b3,0.3,2
157,Rock Creek Park CDP,#6a00b3,1.0,#6a00b3,0.3,2
158,Rockvale,#6a00b3,1.0,#6a00b3,0.3,2
159,Rocky Ford,#6a00b3,1.0,#6a00b3,0.3,2
160,Roxborough Park CDP,#6a00b3,1.0,#6a00b3,0.3,2
161,Saddle Ridge CDP,#6a00b3,1.0,#6a00b3,0.3,2
162,Salt Creek CDP,#6a00b3,1.0,#6a00b3,0.3,2
163,Security-Widefield CDP,#6a00b3,1.0,#6a00b3,0.3,2
164,Sedalia CDP,#6a00b3,1.0,#6a00b3,0.3,2
165,Severance,#6a00b3,1.0,#6a00b3,0.3,2
166,Shaw Heights CDP,#6a00b3,1.0,#6a00b3,0.3,2
167,Sheridan,#6a00b3,1.0,#6a00b3,0.3,2
168,Sherrelwood CDP,#6a00b3,1.0,#6a00b3,0.3,2
169,Simla,#6a00b3,1.0,#6a00b3,0.3,2
170,Snyder CDP,#6a00b3,1.0,#6a00b3,0.3,2
171,Sterling,#6a00b3,1.0,#6a00b3,0.3,2
172,Stonegate CDP,#6a00b3,1.0,#6a00b3,0.3,2
173,Strasburg CDP,#6a00b3,1.0,#6a00b3,0.3,2
174,Stratmoor CDP,#6a00b3,1.0,#6a00b3,0.3,2
175,Sugar City,#6a00b3,1.0,#6a00b3,0.3,2
176,Superior,#6a00b3,1.0,#6a00b3,0.3,2
177,Swink,#6a00b3,1.0,#6a00b3,0.3,2
178,The Pinery CDP,#6a00b3,1.0,#6a00b3,0.3,2
179,Thornton,#6a00b3,1.0,#6a00b3,0.3,2
180,Thronton,#6a00b3,1.0,#6a00b3,0.3,2
181,Timnath,#6a00b3,1.0,#6a00b3,0.3,2
182,Todd Creek CDP,#6a00b3,1.0,#6a00b3,0.3,2
183,Trail Side CDP,#6a00b3,1.0,#6a00b3,0.3,2
184,Twin Lakes CDP,#6a00b3,1.0,#6a00b3,0.3,2
185,Valmont CDP,#6a00b3,1.0,#6a00b3,0.3,2
186,Vineland CDP,#6a00b3,1.0,#6a00b3,0.3,2
187,Walsenburg,#6a00b3,1.0,#6a00b3,0.3,2
188,Watkins CDP,#6a00b3,1.0,#6a00b3,0.3,2
189,Welby CDP,#6a00b3,1.0,#6a00b3,0.3,2
190,Weldona CDP,#6a00b3,1.0,#6a00b3,0.3,2
191,Wellington,#6a00b3,1.0,#6a00b3,0.3,2
192,West Pleasant View CDP,#6a00b3,1.0,#6a00b3,0.3,2
193,Westminster,#6a00b3,1.0,#6a00b3,0.3,2
194,Wheat Ridge,#6a00b3,1.0,#6a00b3,0.3,2
195,Wiggins,#6a00b3,1.0,#6a00b3,0.3,2
196,Williamsburg,#6a00b3,1.0,#6a00b3,0.3,2
197,Windsor,#6a00b3,1.0,#6a00b3,0.3,2
198,Woodmoor CDP,#6a00b3,1.0,#6a00b3,0.3,2
